username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
gjb1966	2018-01-08 17:34	0	1	What is it you want Dwayne to do ? Make a Johnny Bravo film or give us an extra 2 days in February (1 If it's a leap year).				950495897439399936	950449115040755713	AdamDechanel TheRock cartoonnetwork	https://twitter.com/gjb1966/status/950495897439399936	
Dav1dAki	2015-10-22 17:47	0	0	Make this happen! # JohnnyBravo # TheRock # DwayneJohnson @ TheRock @ cartoonnetwork # CartoonNetwork # Film # ManImPrettypic.twitter.com/H5vML43brO		@ TheRock @ cartoonnetwork	# JohnnyBravo # TheRock # DwayneJohnson # CartoonNetwork # Film # ManImPrettypic	657312316594266112			https://twitter.com/Dav1dAki/status/657312316594266112	https://pbs.twimg.com/media/CR8-EYbWoAAKNFN.jpg
lee_parnell	2015-10-21 02:46	0	2	Hey @ TheRock you should play # JohnnyBravo in a film!! @ cartoonnetwork @ globalcartoons # NeedsToHappen # DwayneJohnson pic.twitter.com/pgWP1oZX8i		@ TheRock @ cartoonnetwork @ globalcartoons	# JohnnyBravo # NeedsToHappen # DwayneJohnson	656723298936446976			https://twitter.com/lee_parnell/status/656723298936446976	https://pbs.twimg.com/media/CR0mWnZUkAAhB45.jpg
Zee_Sickness	2015-03-11 14:47	0	0	Were they ever going to film that # JohnnyBravo movie starring @ TheRock? I think it would have been a great film. # CartoonNetwork		@ TheRock	# JohnnyBravo # CartoonNetwork	575729676154462208			https://twitter.com/Zee_Sickness/status/575729676154462208	
