username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
rfuisz	2018-07-21 19:05	0	0	Old Physician. Our family prefers old cars, especially old English and French cars...The Jaguar..... # US # UK # MiamiBeach # France # Slovenia # Hungary # CIA # FBI # SEC # family # Russia # Nepal # Germany # Spain # Colombia # Oldcarspic.twitter.com/LDrnFMcZlu			# US # UK # MiamiBeach # France # Slovenia # Hungary # CIA # FBI # SEC # family # Russia # Nepal # Germany # Spain # Colombia # Oldcarspic	1020806962903158792			https://twitter.com/rfuisz/status/1020806962903158792	https://pbs.twimg.com/media/DiqihFxWkAUxUcJ.jpg
EthicalGreenSto	2018-07-21 19:02	0	0	New post: Renault Zoe Climbs To #1 In Germany ( # CleanTechnica Electric Car Sales Report — Germany) http://www.ethicalgreenstore.com/?p=82743			# CleanTechnica	1020806368037687296			https://twitter.com/EthicalGreenSto/status/1020806368037687296	
El__Sid	2018-07-21 18:52	0	0	Suspect the real panic is among the likes of Bosch etc - huge flows of car parts in and out. Germany imported €56.7bn car parts in 2014, UK over €20bn. Typically 20% from ex-EU, most within EU.				1020803707552829440	1020785667134099458	MSmithsonPB	https://twitter.com/El__Sid/status/1020803707552829440	
Lozzerdude	2018-07-21 18:44	0	0	Not sure about VW figures but Germany sells about 14% of all the passenger cars it makes domestically to the UK, a little over one in seven. (That makes up about 18% of the passenger cars it exports, a little under one in five). Courtesy of FullFact				1020801614016368642	1020288250890670085	PoliticsSense TheCity4Britain	https://twitter.com/Lozzerdude/status/1020801614016368642	
Musso___	2018-07-21 18:30	0	2	<Dieter Kempf, head of Germany's BDI industry association "The tariffs under the guise of national security should be abolished" adding that Juncker needed to make clear to Trump that the US would harm itself with tariffs on cars and car parts> https://mobile.reuters.com/article/amp/idUSKBN1KB0VP?__twitter_impression=true …				1020798210225340419	1017071327574941696		https://twitter.com/Musso___/status/1020798210225340419	https://abs.twimg.com/emoji/v2/72x72/1f606.png
AllSeasonedBBQ	2018-07-21 18:27	0	0	No contest this weekend. Peters car broke down halfway Germany. Thoose damn cooling systems!! # bbq # kcbs # bbqcontest # blackforestsmokeandwinefestival # germany # cartrouble # landrover… https://www.instagram.com/p/BlgqmNKlhGs/?utm_source=ig_twitter_share&igshid=1xqlotpv58qwh …			# bbq # kcbs # bbqcontest # blackforestsmokeandwinefestival # germany # cartrouble # landrover	1020797384304054274			https://twitter.com/AllSeasonedBBQ/status/1020797384304054274	https://abs.twimg.com/emoji/v2/72x72/1f615.png
skythelimitrec	2018-07-21 18:19	0	0	Porsche # car # porsche # germany à Stuttgart, Germany https://www.instagram.com/p/Blgp2oplF0x/?utm_source=ig_twitter_share&igshid=zun8lghauzb7 …			# car # porsche # germany	1020795395637727234			https://twitter.com/skythelimitrec/status/1020795395637727234	
Lozzerdude	2018-07-21 18:08	0	1	Not sure about VW figures but Germany sells about 14% of all the passenger cars it makes domestically to the UK, a little over one in seven. (That makes up about 18% of the passenger cars it exports, a little under one in five). Courtesy of FullFact https://fullfact.org/europe/german-cars-uk/ …				1020792706547830794	1020785667134099458	MSmithsonPB	https://twitter.com/Lozzerdude/status/1020792706547830794	
Cathsophiesays	2018-07-21 18:07	0	1	You know what this reminds me of? Hey Communist Poland and Germany! Where you'd wait for your "trabant" (the only one available car) for years... Oh # socialism... You never change! :D https://en.wikipedia.org/wiki/Trabant			# socialism	1020792479115816963	1020786221809913856	ElonBachman	https://twitter.com/Cathsophiesays/status/1020792479115816963	
lexmcfc	2018-07-21 18:06	0	1	You're literaly finding excuses to not support your local, my car has a brand originated in Germany, does that mean I can support Bayern now?				1020792274542899200	1019657720016797697	Ben17Jones BlueWolf_69	https://twitter.com/lexmcfc/status/1020792274542899200	
larp_freak	2018-07-21 18:05	0	0	ACTUALLY... the only way to really cherish this car would be in GERMANY (without the speed limit, that is)... ^.^ And I know what I´m talking about. :P Just sayin´. :D				1020792013392891904	1020790955962785792	SamHeughan Audi	https://twitter.com/larp_freak/status/1020792013392891904	
EcoInternet3	2018-07-21 18:03	1	1	Renault Zoe Climbs To #1 In Germany ( # CleanTechnica Electric Car Sales Report — Germany): CleanTechnica https://cleantechnica.com/2018/07/21/renault-zoe-climbs-to-1-in-germany-cleantechnica-electric-car-sales-report-germany/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+IM-cleantechnica+%28CleanTechnica%29 …			# CleanTechnica	1020791309336915969			https://twitter.com/EcoInternet3/status/1020791309336915969	
RunMorgans	2018-07-21 17:58	0	0	Germany has a budget surplus. Those numbers explain the trade deficit. Before I get to the trade deficit formula, German carmakers alone have created 110.000 American jobs. The reason why American cars do not sell in Europe is that they are not suited for the market.				1020790117039071232	1017018643756998661	PaulCarl12Carl hsehenuk J___K__________	https://twitter.com/RunMorgans/status/1020790117039071232	
BenPummell	2018-07-21 17:58	1	0	Funnily enough, you can't make threats to Germany about their car manufacturers, or Frances cheese producers, or Italy's vineyards. You can't from your obligations just because you're Britain. It's not 1910 anymore and some people are about to get an incredibly rude awakening.				1020790089079840768			https://twitter.com/BenPummell/status/1020790089079840768	
ptp335	2018-07-21 17:46	1	3	Germany are doing well because they make good stuff that people want to buy, like cars, hence people driving BMW’s. After Brexit we won’t be making any volume cars.				1020787123337785344	1020754517820936192	Sally_CF71 BJ_Gardener	https://twitter.com/ptp335/status/1020787123337785344	
OccuWorld	2018-07-21 17:45	0	0	Renault Zoe Climbs To #1 In Germany ( # CleanTechnica Electric Car Sales Report — Germany) http://www.occuworld.org/news/4273790			# CleanTechnica	1020786771783835649			https://twitter.com/OccuWorld/status/1020786771783835649	
SpotterOne	2018-07-21 17:43	0	0	HOCKENHEMI, Germany — Fernando Alonso has called on McLaren to conduct a deep investigation into Stoffel Vandoorne’s car after his teammate struggled for performance for the second weekend in a row. Vandoorne qualified last and over 0.7s off Alonso’s be… https://ift.tt/2LDotI9				1020786325388226565			https://twitter.com/SpotterOne/status/1020786325388226565	
ZenonDeinon	2018-07-21 17:43	0	0	For those wondering where I was for two weeks... I was in Germany! I was kindly welcomed by @ JonasTh31 and he was an awesome travel companion. Much thanks~ I collected some fun images, so have a look: To start off, a darn cool car! pic.twitter.com/UB0WTnTjcV		@ JonasTh31		1020786283264774144			https://twitter.com/ZenonDeinon/status/1020786283264774144	https://abs.twimg.com/emoji/v2/72x72/1f917.png
vix74870863	2018-07-21 17:29	0	0	Are the EU Courts going to sue for false sales of the defect device cars in the Motor Industry in Germany? False advertising and corruption!				1020782866752589830			https://twitter.com/vix74870863/status/1020782866752589830	
ruth_greene	2018-07-21 17:13	0	0	Renault Zoe Climbs To #1 In Germany ( # CleanTechnica Electric Car Sales Report â�� Germany) https://goo.gl/fb/vGUqCw https://goo.gl/fb/vGUqCw			# CleanTechnica	1020778876786659330			https://twitter.com/ruth_greene/status/1020778876786659330	
