username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
ItsaJonesWorld	2018-06-08 19:22	0	0	I learned today that Houston actually had more inches of rain fall 17 years ago during Tropical Storm Allison than Hurricane Harvey. TS Allison did not cover as wide a space as the hurricane and therefore more widespread devastation. Houston: A River Runs Through It!				1005228675393097728			https://twitter.com/ItsaJonesWorld/status/1005228675393097728	
abc13houston	2018-06-08 11:06	8	16	RECORD RAINS: @ TravisABC13 breaks down the numbers of Tropical Storm Allison compared to Hurricane Harvey. It was this day 17 years ago that intense rains from Allison bombarded Houston. https://abc13.co/2JDkTjr		@ TravisABC13		1005103828331646977			https://twitter.com/abc13houston/status/1005103828331646977	
EMERG_NC	2018-03-03 11:58	0	0	https://buff.ly/2F8um0z An idea born in Tropical Storm Allison saves Houston businesses in Hurricane Harvey pic.twitter.com/zByKIahOr5				969980229128204289			https://twitter.com/EMERG_NC/status/969980229128204289	https://pbs.twimg.com/media/DXYP4JcWAAE10Nx.jpg
stealthygeek	2017-08-29 05:49	0	0	-Tropical Storm Allison, Houston, 2001. 500 year flood event. -"Tax Day Flood," Houston, 2016. 100 year flood event. -Hurricane Harvey.				902468260934901761	902384154964307968	Slamsen RadioFreeTom	https://twitter.com/stealthygeek/status/902468260934901761	
