username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
automaticsteel	2018-07-21 18:23	0	0	The American flag of the United States Of America ~ God Bless America pic.twitter.com/ulMewvQfO6				1020796354283560960			https://twitter.com/automaticsteel/status/1020796354283560960	https://abs.twimg.com/emoji/v2/72x72/2618.png
kabbri	2018-07-21 18:15	0	0	Flag of The United States of America Waving in the Breeze Before a Storm Rolls In # oldglory # proudtobeamerican # freedompic.twitter.com/ynyc07FTcq			# oldglory # proudtobeamerican # freedompic	1020794324726972417			https://twitter.com/kabbri/status/1020794324726972417	https://pbs.twimg.com/media/DiqXB0xW0AcoHwJ.jpg
granny6033	2018-07-21 18:09	0	0	Replying to Justin Tom Meyer · 0:11 I Am The Flag I am the flag of the United States of America. My name is Old Glory. I fly atop the world's tallest buildings. I stand watch in America's halls of justice. I fly... https://www.facebook.com/granny6033/posts/1067118343413476 …				1020792847992225792			https://twitter.com/granny6033/status/1020792847992225792	
pancho_davis	2018-07-21 16:52	0	0	Just confirmed, with Direct TV, we will not be signing up for any NFL package and will not be watching NFL games this season-Again!!! This is a continuation of our attitude last year and will continue until they can respect the Flag of the United states Of America!!				1020773491052646400			https://twitter.com/pancho_davis/status/1020773491052646400	
SethFast001	2018-07-21 16:11	0	0	Pledge Allegiance to the Flag of the United States of America or go back to where you came from, or at least have some respect. Especially if you play in an OFFICIAL BIG LEAGUE "AMERICAN" SPORT for crying out loud. So disrespectful. Shows a lot of peoples true colors, such a drag				1020763305605033984	1020432499082702849	realDonaldTrump	https://twitter.com/SethFast001/status/1020763305605033984	
smallsamson4	2018-07-21 16:06	0	1	Here you go. The flag of the United States of Jesus' Real America. XD pic.twitter.com/YYcYV4zLHL				1020762038203711488	1020732548710912000	WittyApothecary C_Stroop crddouglas	https://twitter.com/smallsamson4/status/1020762038203711488	https://pbs.twimg.com/media/Dip5pqkX0AM7nss.jpg
camjcarter	2018-07-21 14:58	0	0	GOD bless everyone, I pledge allegiance to the flag of the United States of America and to the republic for which to stand and one nation under GOD to the invisible and liberty and Justice for all				1020744901112352768			https://twitter.com/camjcarter/status/1020744901112352768	https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
dadzhat	2018-07-21 14:06	0	2	I pledge allegiance to the flag of the United States of Ariana Grande.				1020731672369778688			https://twitter.com/dadzhat/status/1020731672369778688	
RD_Tudor	2018-07-21 12:32	0	0	Schiff, we are not a Democracy? 'I pledge allegiance to the flag of the United States of America and the REPUBLIC for which it stands,'. We are a REPUBLIC, Not a Democracy. Democracies are MOB Ruled Socialist Nations which over time will transform into a totalitarian state.				1020708051932844033	1020682338131423232	BreitbartNews	https://twitter.com/RD_Tudor/status/1020708051932844033	
4SON8UR	2018-07-21 10:09	0	0	"I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one Nation under God, indivisible, with liberty and justice for all." pic.twitter.com/p7JNoSlyRs				1020672122589515776			https://twitter.com/4SON8UR/status/1020672122589515776	https://pbs.twimg.com/media/Dion3hxU0AAacI9.jpg
occamsrazor45	2018-07-21 08:31	0	0	@ realDonaldTrump put the flag of the United States side by side with North Korea and Russia. But tell me more about the way his bullshit over # takeaknee isn’t about his racism.		@ realDonaldTrump	# takeaknee	1020647574699692032			https://twitter.com/occamsrazor45/status/1020647574699692032	
marcy_tierney	2018-07-21 07:37	1	4	"I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one Nation under God, indivisible, with liberty and justice for all." pic.twitter.com/n1a8RyY1qa				1020633867005374464			https://twitter.com/marcy_tierney/status/1020633867005374464	https://pbs.twimg.com/media/DioFFpxXUAEazp6.jpg
arizseabee302	2018-07-21 07:07	0	0	"I, Jack Kaltenhauser, pledge allegiance to the flag of the United States of America, and to the republic for which it stands, one nation under God, indivisible, with liberty and justice for all!"				1020626203361914880			https://twitter.com/arizseabee302/status/1020626203361914880	
2SouthrnSweetTs	2018-07-21 07:00	0	1	I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one Nation under God, indivisible, with liberty and justice for all. . . # AmericanFlag # PledgeOfAllegiance # USA # TwoSouthernSweetiespic.twitter.com/2J6V8gwoDa			# AmericanFlag # PledgeOfAllegiance # USA # TwoSouthernSweetiespic	1020624668527652865			https://twitter.com/2SouthrnSweetTs/status/1020624668527652865	https://pbs.twimg.com/media/Din8uelXcAA-Xu5.jpg
