username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
BULGEBULL	2016-12-20 12:15	0	0	Fisher Price Happy Hour Playset I love this fictitious Fisher Price “Happy Hour Playset”, that comes with bar, bar stools and beer bottles.…				811258787629776896			https://twitter.com/BULGEBULL/status/811258787629776896	
sky1065	2016-12-12 09:33	0	0	Fisher-Price responded to a controversial viral photo of a "Happy Hour Playset" featuring a bar and fake beer... http://fb.me/4mWhvzbw3				808318808389812224			https://twitter.com/sky1065/status/808318808389812224	
whatsontapshow	2016-12-11 15:42	1	0	“Fisher Price Happy Hour Playset,” features three children sitting around a play bar drinking out of beer bottle-sh… http://cbsn.ws/2hdHRPF				808049363830325248			https://twitter.com/whatsontapshow/status/808049363830325248	
PrototypeWright	2016-12-09 12:24	0	1	No but why that Fisher Price "Happy Hour" Playset look real AF lol Complete with beer bottles				807274623171784705			https://twitter.com/PrototypeWright/status/807274623171784705	
