username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
SmallTittyEmoGf	2018-07-20 05:53	0	2	Teenage serial killer and cannibal Jeffrey Dahmer standing with a giant bong made of snow back in 1976. pic.twitter.com/qrxaLmNqRq				1020245220657688579			https://twitter.com/SmallTittyEmoGf/status/1020245220657688579	https://pbs.twimg.com/media/Diijnc6X4AEYo5p.jpg
EmryMusic	2018-07-19 20:07	2	2	Teenage serial killer and cannibal Jeffrey Dahmer standing with a giant bong made of snow back in 1976. https://ift.tt/2uKjzSc pic.twitter.com/WJRe9x1LG5				1020097819594641409			https://twitter.com/EmryMusic/status/1020097819594641409	https://pbs.twimg.com/media/Digdj6hX0AEvt9T.jpg
kickedAst	2018-07-19 06:28	0	0	Teenage serial killer and cannibal Jeffrey Dahmer standing with a giant bong made of snow back in 1976. pic.twitter.com/0VFXlektHh				1019891621570269184			https://twitter.com/kickedAst/status/1019891621570269184	https://pbs.twimg.com/media/Didh6EEU8AAG0Ff.jpg
SFWPHistory	2018-07-18 20:29	0	0	Teenage serial killer and cannibal Jeffrey Dahmer standing with a giant bong made of snow back in 1976. [435x643] http://dlvr.it/Qc1V9B				1019740867328860160			https://twitter.com/SFWPHistory/status/1019740867328860160	
Anarchy4Sale	2018-02-15 21:00	0	0	And every serial killer fan should have a picture of a young Jeffrey Dahmer with a big ass snow bong. These things are important. pic.twitter.com/CDTNVqVgH2				964318499584737281	963995712588574721	booNaNabraiN LauraLoomer mannyGop	https://twitter.com/Anarchy4Sale/status/964318499584737281	https://abs.twimg.com/emoji/v2/72x72/1f923.png
RXQUEEN_KASE1	2017-10-25 15:08	0	0	American serial killer Jeffrey Dahmer stands with a giant snow bong… https://www.instagram.com/p/BarqKHqFzgEv_robJhzSkWaQRxWZDc6dxpABS00/ …				923264979167461381			https://twitter.com/RXQUEEN_KASE1/status/923264979167461381	
StonedJellyfish	2017-09-06 20:15	0	0	American Serial Killer Jeffrey Dahmer stands with a Giant Snow Bong in his hometown of Milwaukee, Wisconsin, 1980 pic.twitter.com/waRZ6tsK5N				905585169804996608			https://twitter.com/StonedJellyfish/status/905585169804996608	https://pbs.twimg.com/media/DJFI6QwVwAA2Qw1.jpg
mypolystory	2017-09-06 14:45	0	1	American serial killer Jeffrey Dahmer stands with a giant snow bong in his hometown of Milwaukee, Wisconsin, 1980. pic.twitter.com/mPzi4ZVbb9				905502153820733441			https://twitter.com/mypolystory/status/905502153820733441	https://pbs.twimg.com/media/DJD9aA8VAAAXDIr.jpg
AetherAerial	2017-09-06 11:32	0	0	"American serial killer Jeffrey Dahmer stands with a giant snow bong in his hometown of Milwaukee, Wisconsin, 1980." https://www.facebook.com/PicturesHistorical/photos/a.1423359757905033.1073741829.1417194698521539/1971073756466961/ … pic.twitter.com/rIOZDqa3Sx				905453712847581185			https://twitter.com/AetherAerial/status/905453712847581185	https://pbs.twimg.com/media/DJDRRAuUMAIZIEr.jpg
jocoly	2015-08-19 04:33	0	0	Jeffrey Dahmer (the Serial Killer/Rapist/Cannibal/Necrophile) with a giant bong made out of snow. pic.twitter.com/dlKZK6IEfW				633919678688194560			https://twitter.com/jocoly/status/633919678688194560	https://pbs.twimg.com/media/CMwilYFVEAAnw2X.jpg
Raestafari	2015-02-26 00:48	2	3	“ @ History_Pics: Jeffrey Dahmer with an ice bong, date unknown https://twitter.com/History_Pics/status/558028791654936576/photo/1pic.twitter.com/PqliTDZnQD ”he was a cool guy besides bing a serial killer		@ History_Pics		570822649711972352	558028791654936576	History_Pics	https://twitter.com/Raestafari/status/570822649711972352	
Arianax3333	2015-02-08 04:40	0	0	“ @ ThislsAmazing: Jeffrey Dahmer with an ice bong, date unknown pic.twitter.com/uf5PAVGhYF” @ lecolagiovanni @ Kristi_Carta the serial killer......		@ ThislsAmazing @ lecolagiovanni @ Kristi_Carta		564358056721784832	558137231626731521	HistoryToLearn	https://twitter.com/Arianax3333/status/564358056721784832	https://pbs.twimg.com/media/B77m2t-IEAAwIRe.jpg
Thuggybob	2015-02-03 15:24	0	2	“ @ HistoryInPix: Jeffrey Dahmer with an ice bong, date unknown pic.twitter.com/RGuXdNZFNK”proof weed turns you into a canibalistic serial killer		@ HistoryInPix		562708335955558400	562706086978150400	HistoryInPix	https://twitter.com/Thuggybob/status/562708335955558400	https://pbs.twimg.com/media/B88iNGhIMAk5JI4.jpg
BanksyFBrevolut	2015-01-28 05:35	0	0	Serial killer Jeffrey Dahmer builds a snow bong.........(Posted by TKBoss).... http://fb.me/1wmf6yesQ				560385790430429184			https://twitter.com/BanksyFBrevolut/status/560385790430429184	
