username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
macressler18	2018-07-18 23:21	0	0	George Soros calls former United States (US) President Barack Obama "greatest disappointment," says he does not (doesn't) "particularly want to be a Democrat" -- https://fxn.ws/2uxR3UB # FoxNews			# FoxNews	1019784296851095552			https://twitter.com/macressler18/status/1019784296851095552	
DavidBugnon	2018-07-11 23:46	0	0	I loath leftist idiots that think they’re on some sort of moral crusade. If they get their way innocent people are going to die. They’re paid by people that want to destroy the United States like George Soros and Barack Obama. Domestic enemies and useful idiots. https://twitter.com/rodstryker/status/1017154520894377990 …				1017253841102950400			https://twitter.com/DavidBugnon/status/1017253841102950400	https://pbs.twimg.com/ext_tw_video_thumb/1017082730280935424/pu/img/P_NS8pFRVX59XKNt.jpg
nobama777	2018-06-30 21:28	0	0	@ newtgingrich Just heard the Socialists,with arms locked Tell America “F your border, F your wall, we will make your SYSTEM FALL! Americans how long are you going to let George Soros/Barack Obama continue to work to destroy The United States for a Communist ONE WORLD ORDER Agenda		@ newtgingrich		1013232830523039744			https://twitter.com/nobama777/status/1013232830523039744	
shabrokh1	2018-06-27 14:51	0	1	I am glad that there are people in the United States who talk about justice and freedom in spite of their factional and partisan tendencies. I hope that our politicians will hear our voice, 40 years old, under the rule of the dictator and criminals.				1012045865278754816	1012016684302045184	lesroe realDonaldTrump	https://twitter.com/shabrokh1/status/1012045865278754816	
shabrokh1	2018-06-27 14:43	0	1	In the past years, the United States also brokered a deal with the fake reformist factions in the regime of the massacre of prisoners and political activists, in particular in 1988.				1012043818290614272	1012016684302045184	lesroe realDonaldTrump	https://twitter.com/shabrokh1/status/1012043818290614272	
finnishvodka	2018-06-11 13:42	0	1	Yes, we get it. @ BarackObama, with help from @ HillaryClinton and @ georgesoros, came breathtakingly close to annihilating the United States of America. Thanking God everyday for @ realDonaldTrump. # MondayMotivation # E32018 # IHOb # NetNeutrality # MAGA # MAGA2018https://twitter.com/tedcruz/status/1006189164235239425 …		@ BarackObama @ HillaryClinton @ georgesoros @ realDonaldTrump	# MondayMotivation # E32018 # IHOb # NetNeutrality # MAGA # MAGA2018https	1006230296134606848			https://twitter.com/finnishvodka/status/1006230296134606848	https://abs.twimg.com/hashflags/Net_Emoji_v3/Net_Emoji_v3.png
yazmiller	2018-05-30 05:23	0	0	Dear @ georgesoros Remember When the then President of The united States of America @ BarackObama came to England and Threatened the British if we voted # Brexit , How did that Turn out?https://twitter.com/trustrestored/status/1001645931253714950 …		@ georgesoros @ BarackObama	# Brexit	1001756027992399872			https://twitter.com/yazmiller/status/1001756027992399872	https://pbs.twimg.com/media/DeaPqGOWkAEJFOq.jpg
MeanGene53	2018-05-28 11:10	0	1	Your pushing GEORGE SOROS One World Government is ABSOLUTELY CRIMINAL and AGAINST the United States Of America. You are REBUKED Sir....in the name of JESUS!				1001118491393617920	999389510550028289	BarackObama	https://twitter.com/MeanGene53/status/1001118491393617920	
stevenrobbins06	2018-05-21 02:50	0	0	It is you John Brennan and your bosses: George Soros and @ BarackObama that need to be stopped for the good of the Republic of the United States of America.		@ BarackObama		998455858857115650			https://twitter.com/stevenrobbins06/status/998455858857115650	
PeterMDavies80	2018-05-07 16:32	0	0	Here's the question Rob: is it or is it not acceptable for the president of the United States to accept direct cash payments from foreign governments and lobbyists groups? Is that your vision for American government? Yes or no.				993589518640009221	993483042177118208	RobStarkey79 Dena3332	https://twitter.com/PeterMDavies80/status/993589518640009221	
manworking2969j	2018-04-30 14:48	0	0	Obama never worked a day in his life for the people of the United States he worked for George Soros				991026618276687872	990928644100034561	ladyhawkerfinds Giffo97	https://twitter.com/manworking2969j/status/991026618276687872	
audra_ratliff	2018-04-21 16:39	1	0	George Soros is evil. He considers himself a God. He wants to rule over a globalized nation, and has stated the ONLY roadblock for him achieving it.. is the UNITED STATES. His words. He backs organizations that promote division.				987792987496308736	987728866977501185	audra_ratliff lambie38	https://twitter.com/audra_ratliff/status/987792987496308736	
sanrous2	2018-04-18 16:03	0	0	@ foxnew @ seanhannity @ TuckerCarlson Who is George Soros The Russians Hillary Clinton Barack Obama CNN Media Matters @ GoAngelo BlackLivesMatter Now! Reaching into Puerto Rico via Gutierrez , Carmen Cruz and Melissa Viverito who want Independence of the United States https://twitter.com/sanrous2/status/986419949945147392 …		@ foxnew @ seanhannity @ TuckerCarlson @ GoAngelo		986696683600957445			https://twitter.com/sanrous2/status/986696683600957445	https://abs.twimg.com/emoji/v2/72x72/2714.png
KilcommMichael	2018-04-11 21:27	0	0	The war crimes and the crimes against humanity committed by the United States are not of the same magnitude as the Nazis, but if we start a war with Russia over Syria, we will probably surpass them.				984241593497595905	983065571825680384	mennake Zaphod4Prezzie	https://twitter.com/KilcommMichael/status/984241593497595905	
KilcommMichael	2018-04-11 21:11	0	0	Look at Madeline Albright. She is a holocaust survivor and thinks nothing of the fact that one half million Iraqi children perished because of United States sanctions Sometimes the hypocrisy of some Jewish people is overwhelming.				984237510132948993	983065571825680384	Zaphod4Prezzie mennake	https://twitter.com/KilcommMichael/status/984237510132948993	
Marcelo77931223	2018-04-08 00:17	6	10	# MAGA @ realDonaldTrump @ POTUS. # GeorgeSoros right arm in # Brasil fell. Former President Lula, already in jail! Now there's @ BarackObama and @ HillaryClinton in the United States. Where is the justice of America? @ FBI @ TheJusticeDept?pic.twitter.com/rlWg9NYdYr		@ realDonaldTrump @ POTUS @ BarackObama @ HillaryClinton @ FBI @ TheJusticeDept	# MAGA # GeorgeSoros # Brasil	982834736753147904			https://twitter.com/Marcelo77931223/status/982834736753147904	https://abs.twimg.com/emoji/v2/72x72/1f447.png
Migxp1	2018-04-07 01:03	0	0	The United States is a Pagan Nation that was divided by The Antichrist Barack Obama & The Dragon George Soros & the False Prophet Pope Francis. Judgments Coming upon the United States, The Rapture & then Comes Great Tribulation - People need to Repent to GOD pic.twitter.com/x08BM52err				982483991931613184	982453655134720000	FoxNews POTUS IngrahamAngle	https://twitter.com/Migxp1/status/982483991931613184	https://pbs.twimg.com/media/DaJ7Za5XcAAwvsH.jpg
HouseCracka	2018-04-01 11:40	25	25	George Soros Barack Obama are down in South America emptying out the jungles and telling all the refugees that all they have to do is say they are Asylum Seekers and the United States will let them in. pic.twitter.com/fbXuKUwhBh				980470055409463301			https://twitter.com/HouseCracka/status/980470055409463301	https://pbs.twimg.com/media/DZtUToiWAAA-5cD.jpg
bradford5445	2018-03-08 04:53	0	0	Welcome back to OUR United States and Not Mexicos @ potus MS TN have VOTER id and it is A BREEZE # GEORGESOROS @ BARACKOBAMA https://twitter.com/bbusa617/status/971555785187692544 …		@ potus @ BARACKOBAMA	# GEORGESOROS	971685260441346048			https://twitter.com/bradford5445/status/971685260441346048	
patgunn66	2018-02-25 03:37	0	0	@ BarackObama your new world order won’t fly in the United States of America. No matter what you, George Soros, the Rockefellers and the Rothschilds try to do. Using children as props just like Hitler did.		@ BarackObama		967680053483048960			https://twitter.com/patgunn66/status/967680053483048960	
