username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
JD26nyc4eva	2018-07-21 10:20	0	0	There is no equality under the eyes of the law. White privilege has always been the M.O. of the United States of America. Until we get rid of all Ku Klux Klan… https://www.instagram.com/p/BlfzFkpBgYtbjgDLvRHvrv8Idu81CG2SbuKGoQ0/?utm_source=ig_twitter_share&igshid=aywmxou82iiq …				1020674963790090240			https://twitter.com/JD26nyc4eva/status/1020674963790090240	
caitlyn82191585	2018-07-19 14:33	0	0	Harry S. Truman was inducted into the Ku Klux Klan prior to becoming President of the United States.				1020013819643473920			https://twitter.com/caitlyn82191585/status/1020013819643473920	
Renzothagreat	2018-07-18 11:27	0	0	Kolorado once had the 2nd largest Ku Klux Klan membership in the United States # thingsthatmakeyougohmmm			# thingsthatmakeyougohmmm	1019604639270895616			https://twitter.com/Renzothagreat/status/1019604639270895616	
yaldi00	2018-07-16 21:43	0	1	Robert Byrd was a member of the Ku Klux Klan in the 40s. But, in1952 Byrd avowed that “After about a year I became disinterested,quit paying my dues&dropped out of KKK, "throughout his long political career (57 years in the United States Congress) he repeatedly apologized for it.				1019034807676702720	1018144062979706880	rnlynn1958 SueJone54923872	https://twitter.com/yaldi00/status/1019034807676702720	
RachelAushwitz	2018-07-14 15:02	0	0	Does the US Constitution only employ members of the Ku Klux Klan, if so then I when we as the People of the United States become clarified by clear English statement or instructions, CAN fulfill our duties professionally. According to the Law laid forth. Cowardess however,... https://twitter.com/RachelAushwitz/status/1018208715105660928 …				1018209200327888896			https://twitter.com/RachelAushwitz/status/1018209200327888896	
RightN3Ws	2018-07-14 14:07	0	0	Traditionalist American Knights of the Ku Klux Klan v. Desloge | Traffic | First Amendment To The United States ... http://gji.me/nQK8ztnH				1018195275851141121			https://twitter.com/RightN3Ws/status/1018195275851141121	
platinum82810	2018-07-12 18:39	0	0	Ku Klux Klan members in United States politics Don’t be surprised if Trump has a white sheet in his closet! https://en.wikipedia.org/wiki/Ku_Klux_Klan_members_in_United_States_politics …				1017538865916149761			https://twitter.com/platinum82810/status/1017538865916149761	
KatyinIndy	2018-07-08 12:02	1	0	FYI: @ TheDemocrats we’re founded on murder and sedition. The Ku Klux Klan was their terrorist wing. This is just more of the same from anarchists who want to overthrow the United States of America! @ realdhttps://twitter.com/foxnews/status/1015813476046913538 …		@ TheDemocrats @ realdhttps		1015989395785224192			https://twitter.com/KatyinIndy/status/1015989395785224192	https://pbs.twimg.com/media/Dhghf4wXUAA7o5F.jpg
UsaAlways76	2018-07-08 06:05	0	0	Traditionalist American Knights of the Ku Klux Klan v. Desloge | Traffic | First Amendment To The United States ... http://ugz.me/nQK8ztnH				1015899632105291776			https://twitter.com/UsaAlways76/status/1015899632105291776	
gary4205	2018-07-07 15:22	0	1	It was democrats who created the Ku Klux Klan, and the so-called "progressives" who revived it as the White Knights of the Ku Klux Klan Democrats had a Klan LEADER in the United States Senate until 2010 Democrats created segregation, Jim Crow, and fought against Civil Rights				1015677375131127810	1015028064366088192	blackrepublican jknight908 thehill	https://twitter.com/gary4205/status/1015677375131127810	
mariamuser	2018-07-05 19:14	1	1	He’s totally insane and he’s bringing the United States back to the times of the ku klux klan ! I see the great work you do with your camera! You take every days pictures of the bad changes in our world. https://twitter.com/lsulaco/status/1015009231253229568 …				1015011056928874499			https://twitter.com/mariamuser/status/1015011056928874499	
CCHRLondon	2018-07-04 06:38	0	0	NEWSWIRE says: "From apartheid in South Africa to the Ku Klux Klan and experiments on minorities in the United States, the most brutal racists were inspired by eugenics, which justified injustice,... https://newswire.net/newsroom/pr/00102498-http-www-cchrflorida-org.html …				1014458296617619456			https://twitter.com/CCHRLondon/status/1014458296617619456	
Ancient0History	2018-07-03 11:44	0	1	Lovecraft praised both the Ku Klux Klan and the Nazi party during their resurgence, then changed his mind when he saw what they actually accomplished. He supported segregation when segregation was legal in the United States and used scientific racialism to support his prejudices.				1014173054077980674	1014116024726249472	Ancient0History ROCDOG_	https://twitter.com/Ancient0History/status/1014173054077980674	
