username	date	retweets	favorites	text	geo	mentions	hashtags	tweetid	conversationid	replyto	permalink	imagelink
PennylessChurch	2018-06-24 13:09	3	0	Superior Room: Trump International Hotel and Tower New York, New York $753 Per night Illegal Immigrant Children Tent City, Texas $775 Per night It would cost the American taxpayers less money To give every child their own room at Trump Tower NY What the hell are we doing.... pic.twitter.com/bah1BkzKNA				1010932849615167491			https://twitter.com/PennylessChurch/status/1010932849615167491	https://pbs.twimg.com/media/DgeMadmU0AAnsRY.jpg
HistoryDTrump	2018-03-22 12:00	3	6	I am extremely proud to tip off the amazing STUPID SIXTEEN matchups in the fantastic Trump Tower Region and the high energy Trump International Hotel Region! # MarchMadness # MakeHistoryGreatAgainpic.twitter.com/YrEnvHLkWY			# MarchMadness # MakeHistoryGreatAgainpic	976851067026726912			https://twitter.com/HistoryDTrump/status/976851067026726912	https://pbs.twimg.com/media/DY50DqrX0AEgfnG.jpg
hellomishyvacay	2018-02-19 21:05	0	0	The Trump International Hotel and Tower, also known as Trump Tower Chicago and Trump Tower, is a skyscraper condo-hotel in downtown Chicago, Illinois. https://buff.ly/2nlK90D pic.twitter.com/hDSUaDWrFr				965769228228943872			https://twitter.com/hellomishyvacay/status/965769228228943872	https://pbs.twimg.com/media/DWcZ_qNU8AAcaMO.jpg
heartfulmom	2017-11-17 19:38	15	12	15) 2002 - Bayrock LLC & RUSSIAN PARTNER, Felix Sater: Bayrock’s Trump Tower SoHo & Trump International Hotel & Tower in Florida foreclosed and BANKRUPT - leaving @ realDonaldTrump & Sater RICHER, but investors & contractors PENNILESS.pic.twitter.com/QaXpTutojJ		@ realDonaldTrump		931683116623843329	931219016529653767		https://twitter.com/heartfulmom/status/931683116623843329	https://pbs.twimg.com/media/DO4A1jTUMAAdFAi.jpg
Running_experts	2017-02-25 08:17	0	0	Trump tower opens in Vancouver but the welcome isn't warm: A gleaming new Trump International Hotel and Tower that… http://abcnews.go.com/Health/wireStory/trump-tower-opens-vancouver-warm-45713802?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/vlE1qsavvR				835478769469042689			https://twitter.com/Running_experts/status/835478769469042689	https://pbs.twimg.com/media/C5g3gnkUoAAtpnt.jpg
1USNews	2017-02-25 08:17	0	0	# USA Trump tower opens in Vancouver but the welcome isn't warm: A gleaming new Trump International Hotel and… http://dlvr.it/NTGLXW # Newspic.twitter.com/hoKRso12Vl			# USA # Newspic	835478761906692096			https://twitter.com/1USNews/status/835478761906692096	https://pbs.twimg.com/media/C5g3gLhUwAEsdMb.jpg
mssurfer808	2017-02-20 16:17	0	3	Pro-Trump crowd in front of Trump Tower and Anti-Trump crowd in front of Trump International Hotel today in NYC. pic.twitter.com/r5EWys3Y3U				833787805235027968	833786945029316608	CitizenSlant	https://twitter.com/mssurfer808/status/833787805235027968	https://pbs.twimg.com/media/C5I1lcUXUAELlxd.jpg
TrumpChronicle1	2017-02-08 05:24	0	0	Trump Tower In Toronto Is Up For Sale And Facing Legal Woes: The Trump International Hotel and Tower… http://dlvr.it/NKDxrY # Trump # NPRpic.twitter.com/31XWhKAaoV			# Trump # NPRpic	829274598566920193			https://twitter.com/TrumpChronicle1/status/829274598566920193	https://pbs.twimg.com/media/C4Is2W5XUAEEkVJ.jpg
Nupe117	2017-01-17 09:38	2	1	tRump applied for several trademarks in Russia, including Trump, Trump Tower, Trump International Hotel and Tower, and Trump Home. @ cspanwjpic.twitter.com/7hz7l0hFVD		@ cspanwjpic		821366209673392128			https://twitter.com/Nupe117/status/821366209673392128	
DrBicentenario	2016-10-11 06:34	0	0	Aiming High - The Trump International Hotel and Tower, also known as Trump Tower Chicago is the second tallest buil… pic.twitter.com/T4zQKfaw4R				785790583696723968			https://twitter.com/DrBicentenario/status/785790583696723968	https://pbs.twimg.com/media/CuewXuFWAAErD_C.jpg
brandleyconsult	2016-01-27 07:36	0	0	The Trump International Hotel and Tower, also known as Trump Tower Chicago and Trump Tower is a skyscraper... pic.twitter.com/OMBYJTkjca				692325293890105344			https://twitter.com/brandleyconsult/status/692325293890105344	https://pbs.twimg.com/media/CZuiCWIWcAE5FVT.jpg
ChiPhotos	2015-07-30 13:53	0	0	Trump International Hotel and Tower – known at Trump Tower Chicago, this skyscraper condo-hotel is named after bill… pic.twitter.com/HD2wdUcGkQ				626812935692750848			https://twitter.com/ChiPhotos/status/626812935692750848	https://pbs.twimg.com/media/CLLjCz9WoAEP9Qc.jpg
